open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,date
1646769600000.0,38764.87,38897.68,38434.22,38512.51,1818.43327,1646773199999.0,70243606.7702614,46154.0,859.75728,33214116.4498578,0.0,2022-03-08 21:59:59.999
1646773200000.0,38512.5,38586.15,38388.73,38494.34,995.67113,1646776799999.0,38326461.5079274,35191.0,435.72245,16770978.0034042,0.0,2022-03-08 22:59:59.999
1646776800000.0,38494.34,38642.74,38472.61,38552.29,483.79768,1646780399999.0,18659067.4146735,23199.0,233.25276,8995625.8124763,0.0,2022-03-08 23:59:59.999
1646780400000.0,38552.29,38780.49,38530.07,38730.63,798.93718,1646783999999.0,30915068.8348151,25656.0,414.0856,16024322.0501484,0.0,2022-03-09 00:59:59.999
1646784000000.0,38730.63,39030.0,38656.45,38951.8,1433.43974,1646787599999.0,55664400.5136604,37884.0,759.59928,29497322.4063697,0.0,2022-03-09 01:59:59.999
1646787600000.0,38951.8,39308.75,38903.56,39215.42,2090.01209,1646791199999.0,81766465.3147163,46884.0,1152.39011,45093010.1611187,0.0,2022-03-09 02:59:59.999
1646791200000.0,39215.42,39520.0,39132.36,39410.93,2957.61983,1646794799999.0,116326055.4331655,63632.0,1383.42356,54429798.1034662,0.0,2022-03-09 03:59:59.999
1646794800000.0,39410.93,41448.84,39372.81,41217.73,8565.72569,1646798399999.0,346942156.8052676,162218.0,4757.06672,192509416.8204693,0.0,2022-03-09 04:59:59.999
1646798400000.0,41217.73,41884.0,41217.72,41639.54,5471.10739,1646801999999.0,227313593.3118902,110780.0,2967.61514,123289409.630466,0.0,2022-03-09 05:59:59.999
1646802000000.0,41639.55,41695.6,41318.06,41515.86,3123.39742,1646805599999.0,129516505.5838426,70113.0,1637.15417,67881041.1169536,0.0,2022-03-09 06:59:59.999
1646805600000.0,41515.86,41650.07,41422.47,41600.01,1808.69721,1646809199999.0,75119461.1336757,43052.0,910.84292,37833182.0179389,0.0,2022-03-09 07:59:59.999
1646809200000.0,41600.0,41812.33,41496.39,41791.1,2125.94122,1646812799999.0,88621800.7449055,48477.0,1213.53937,50594828.2218516,0.0,2022-03-09 08:59:59.999
1646812800000.0,41791.1,42438.81,41626.28,42053.19,4834.63384,1646816399999.0,203162906.2727334,105535.0,2477.80221,104119653.6551723,0.0,2022-03-09 09:59:59.999
1646816400000.0,42053.18,42211.09,41916.23,42009.91,2580.54637,1646819999999.0,108545871.9719837,56463.0,1281.29441,53897559.5668853,0.0,2022-03-09 10:59:59.999
1646820000000.0,42007.62,42226.77,41955.41,42215.67,2124.06974,1646823599999.0,89408638.628606,54704.0,1131.9704,47651134.5515131,0.0,2022-03-09 11:59:59.999
1646823600000.0,42215.67,42400.0,42012.0,42151.66,2684.10198,1646827199999.0,113209960.3066526,61463.0,1292.99747,54552482.9029441,0.0,2022-03-09 12:59:59.999
1646827200000.0,42151.65,42545.45,41626.86,41914.33,4061.98848,1646830799999.0,171042409.9229797,89719.0,1884.64277,79398133.1977734,0.0,2022-03-09 13:59:59.999
1646830800000.0,41914.33,42082.91,41650.14,41869.16,2727.6107,1646834399999.0,114272319.2837806,67794.0,1344.00518,56312368.2132196,0.0,2022-03-09 14:59:59.999
1646834400000.0,41869.16,42308.65,41850.0,42208.71,3654.84947,1646837999999.0,154001866.2308828,75226.0,1966.4005,82850717.8902342,0.0,2022-03-09 15:59:59.999
1646838000000.0,42208.71,42594.06,42106.81,42520.99,3299.6848,1646841599999.0,139591253.9759022,71406.0,1719.32548,72731032.3552128,0.0,2022-03-09 16:59:59.999
1646841600000.0,42520.99,42558.96,42131.18,42233.16,2247.11239,1646845199999.0,95172779.3927517,63071.0,994.22014,42113210.849283,0.0,2022-03-09 17:59:59.999
1646845200000.0,42233.17,42350.0,42103.08,42320.15,1515.23719,1646848799999.0,64009916.3040215,49923.0,705.44173,29798593.8381656,0.0,2022-03-09 18:59:59.999
